NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,BOLSA,FECHA
41,2858,8,17,18,25,35,37,"$21,000,000.00",26/4/2015
41,2857,22,26,40,45,52,53,"$20,500,000.00",22/4/2015
41,2856,25,26,34,35,42,46,"$20,000,000.00",19/4/2015
41,2855,12,28,37,43,45,52,"$107,500,000.00",15/4/2015
41,2854,6,10,32,39,42,46,"$104,000,000.00",12/4/2015
41,2853,8,28,39,44,47,55,"$101,500,000.00",8/4/2015
41,2852,1,2,4,10,37,55,"$98,000,000.00",5/4/2015
41,2851,2,9,13,16,17,23,"$96,000,000.00",1/4/2015
41,2850,7,13,17,22,29,52,"$93,500,000.00",29/3/2015
41,2849,3,20,28,32,49,52,"$91,000,000.00",25/3/2015
41,2848,35,39,44,48,53,56,"$87,500,000.00",22/3/2015
41,2847,15,24,30,40,52,55,"$84,500,000.00",18/3/2015
41,2846,1,3,4,10,17,56,"$81,500,000.00",15/3/2015
41,2845,9,33,37,45,48,52,"$79,000,000.00",11/3/2015
41,2844,28,30,35,43,47,50,"$75,500,000.00",8/3/2015
41,2843,2,6,7,25,29,34,"$73,000,000.00",4/3/2015
41,2842,1,12,14,18,39,40,"$69,500,000.00",1/3/2015
41,2841,17,18,37,38,43,52,"$67,000,000.00",25/2/2015
41,2840,2,15,31,40,45,49,"$63,500,000.00",22/2/2015
41,2839,13,23,26,39,47,48,"$61,000,000.00",18/2/2015
41,2838,4,30,31,33,51,54,"$58,000,000.00",15/2/2015
41,2837,8,13,31,36,41,54,"$55,000,000.00",11/2/2015
41,2836,1,7,22,28,49,55,"$51,500,000.00",8/2/2015
41,2835,1,4,17,31,43,56,"$48,500,000.00",4/2/2015
41,2834,4,20,35,36,38,56,"$46,000,000.00",1/2/2015
41,2833,13,23,26,37,51,54,"$43,000,000.00",28/1/2015
41,2832,4,6,9,25,38,55,"$40,500,000.00",25/1/2015
41,2831,18,22,25,45,49,52,"$37,000,000.00",21/1/2015
41,2830,18,25,30,41,49,56,"$34,000,000.00",18/1/2015
41,2829,27,32,36,39,43,46,"$31,000,000.00",14/1/2015
41,2828,10,20,28,42,44,51,"$29,000,000.00",11/1/2015
41,2827,1,5,16,20,31,52,"$28,000,000.00",7/1/2015
41,2826,1,6,21,25,48,55,"$27,000,000.00",4/1/2015
41,2825,17,36,40,42,48,50,"$26,000,000.00",31/12/2014
41,2824,3,12,25,33,39,51,"$25,000,000.00",28/12/2014
41,2823,1,17,34,38,48,54,"$24,000,000.00",24/12/2014
41,2822,4,32,33,35,39,42,"$23,000,000.00",21/12/2014
41,2821,3,32,35,36,43,56,"$22,000,000.00",17/12/2014
41,2820,3,4,11,12,36,53,"$21,000,000.00",14/12/2014
41,2819,8,16,18,19,33,45,"$20,000,000.00",10/12/2014
41,2818,3,11,32,40,41,47,"$24,000,000.00",7/12/2014
41,2817,16,18,20,25,47,55,"$23,000,000.00",3/12/2014
41,2816,3,16,17,18,36,43,"$22,000,000.00",30/11/2014
41,2815,4,21,22,33,34,50,"$21,000,000.00",26/11/2014
41,2814,10,12,31,32,38,42,"$20,000,000.00",23/11/2014
41,2813,2,21,24,28,29,53,"$415,500,000.00",19/11/2014
41,2812,5,18,20,32,33,49,"$412,000,000.00",16/11/2014
41,2811,6,12,25,31,37,42,"$409,000,000.00",12/11/2014
41,2810,24,28,32,36,40,52,"$405,500,000.00",9/11/2014
41,2809,2,24,33,45,49,51,"$402,500,000.00",5/11/2014
41,2808,22,23,40,50,52,56,"$398,500,000.00",2/11/2014
41,2807,4,38,43,47,50,53,"$395,000,000.00",29/10/2014
41,2806,10,19,27,42,46,54,"$392,000,000.00",26/10/2014
41,2805,4,19,32,35,42,56,"$389,000,000.00",22/10/2014
41,2804,12,22,37,39,46,49,"$385,000,000.00",19/10/2014
41,2803,7,25,29,35,43,54,"$383,000,000.00",15/10/2014
41,2802,2,6,27,41,44,46,"$379,500,000.00",12/10/2014
41,2801,5,13,21,43,45,53,"$376,500,000.00",8/10/2014
41,2800,7,17,22,32,42,53,"$373,500,000.00",5/10/2014
41,2799,8,24,27,38,51,52,"$370,000,000.00",1/10/2014
41,2798,2,13,16,29,45,49,"$367,000,000.00",28/9/2014
41,2797,17,29,31,35,46,54,"$364,000,000.00",24/9/2014
41,2796,4,41,45,52,53,55,"$360,000,000.00",21/9/2014
41,2795,24,28,30,32,37,47,"$357,500,000.00",17/9/2014
41,2794,7,10,28,33,41,45,"$354,000,000.00",14/9/2014
41,2793,16,22,27,28,30,49,"$351,500,000.00",10/9/2014
41,2792,3,4,15,18,21,34,"$348,000,000.00",7/9/2014
41,2791,1,7,16,22,34,55,"$345,000,000.00",3/9/2014
41,2790,1,16,45,46,53,54,"$341,500,000.00",31/8/2014
41,2789,16,24,47,50,52,55,"$339,000,000.00",27/8/2014
41,2788,6,12,13,24,36,53,"$335,500,000.00",24/8/2014
41,2787,16,24,27,29,35,53,"$332,500,000.00",20/8/2014
41,2786,4,23,28,44,45,48,"$329,000,000.00",17/8/2014
41,2785,13,20,35,36,37,52,"$326,000,000.00",13/8/2014
41,2784,19,29,33,34,43,46,"$322,000,000.00",10/8/2014
41,2783,6,7,15,23,31,46,"$319,000,000.00",6/8/2014
41,2782,18,20,27,38,47,54,"$315,000,000.00",3/8/2014
41,2781,6,26,29,41,46,48,"$311,500,000.00",30/7/2014
41,2780,2,3,15,16,26,47,"$308,000,000.00",27/7/2014
41,2779,14,16,17,31,48,56,"$305,000,000.00",23/7/2014
41,2778,4,10,13,31,38,54,"$302,000,000.00",20/7/2014
41,2777,16,19,28,34,48,49,"$298,500,000.00",16/7/2014
41,2776,1,26,39,40,41,52,"$294,500,000.00",13/7/2014
41,2775,3,20,22,31,43,52,"$292,000,000.00",9/7/2014
41,2774,5,25,26,29,32,37,"$288,000,000.00",6/7/2014
41,2773,13,19,21,25,54,56,"$285,000,000.00",2/7/2014
41,2772,8,17,20,22,28,44,"$282,000,000.00",29/6/2014
41,2771,4,5,14,39,42,45,"$279,000,000.00",25/6/2014
41,2770,5,25,32,35,40,51,"$276,000,000.00",22/6/2014
41,2769,20,30,35,40,41,45,"$273,000,000.00",18/6/2014
